mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007402372360229492,0.0013538650890219718,0.0029973506927490233,0.0006323354149461446,entropy,5,10,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.4375,0.65625,0.75,0.5625,0.53125,0.5875,0.10716517624676404,15
0.0068018436431884766,0.0007498092300673849,0.002598285675048828,0.0004895901691545033,entropy,4,10,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.4375,0.65625,0.75,0.5625,0.53125,0.5875,0.10716517624676404,15
0.008805084228515624,0.0051073072315192805,0.00819535255432129,0.010900728102910895,gini,6,15,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.5,0.625,0.71875,0.59375,0.5,0.5875,0.08244316223920574,15
0.00619664192199707,0.0003998758114523948,0.002798175811767578,0.0003998757545913182,gini,5,15,30,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.5,0.625,0.71875,0.59375,0.5,0.5875,0.08244316223920574,15
0.015190982818603515,0.016977115741980648,0.005002403259277343,0.003995121308462993,gini,6,15,30,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.5,0.625,0.71875,0.59375,0.5,0.5875,0.08244316223920574,15
0.008994674682617188,0.00404756098780806,0.0025987148284912108,0.0011991500949298365,gini,6,15,20,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.5,0.625,0.71875,0.59375,0.5,0.5875,0.08244316223920574,15
0.006097745895385742,0.0002030377659000792,0.0025988101959228517,0.0004895315191458719,gini,5,15,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.5,0.625,0.71875,0.59375,0.5,0.5875,0.08244316223920574,15
0.006796360015869141,0.00039994720552788215,0.002997875213623047,1.5078914929239175e-07,entropy,6,10,30,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.4375,0.65625,0.75,0.5625,0.5,0.58125,0.11110243021644486,27
0.00659637451171875,0.000489531565593068,0.0025985240936279297,0.0004897846513118331,gini,6,15,50,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.5,0.625,0.65625,0.625,0.5,0.58125,0.06731456008918131,27
0.006396102905273438,0.000489551839373387,0.0029984474182128905,3.2340669551493016e-07,gini,3,15,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.5,0.625,0.65625,0.625,0.5,0.58125,0.06731456008918131,27
0.007392263412475586,0.0014942563834857373,0.003103017807006836,0.0004840457113411185,entropy,3,10,30,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.5,0.65625,0.6875,0.5625,0.5,0.58125,0.07806247497997998,27
0.00819549560546875,0.004397106188752742,0.003006601333618164,0.001270904789839409,gini,4,15,50,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.5,0.625,0.65625,0.625,0.5,0.58125,0.06731456008918131,27
